"Latitude"	"Marginal"	"Upper"	"Lower"	"Marine"	"Marine_upper"	"Marine_lower"	"Lake"	"Lake_upper"	"Lake_lower"	"Stream"	"Stream_upper"	"Stream_lower"	"Terrestrial"	"Terr_upper"	"Terr_lower"
"1"	0	-0.54833120266985	-0.378318175764611	-0.718344229575088	-0.180279075242509	-0.014638401264638	-0.34591974922038	-0.302360292217296	-0.15791047600822	-0.446810108426372	-1.11060002426974	-0.848401332418515	-1.37279871612096	-0.740747584734696	-0.520357021918405	-0.961138147550987
"2"	0.452261306532663	-0.548913916570759	-0.379918116280081	-0.717909716861438	-0.180861789143419	-0.0162360280109941	-0.345487550275843	-0.302943006118206	-0.159651167503742	-0.44623484473267	-1.10594531731595	-0.843180684356705	-1.36870995027519	-0.737277746832651	-0.516107153811445	-0.958448339853856
"3"	0.904522613065327	-0.549496630471669	-0.381513289656712	-0.717479971286625	-0.181444503044328	-0.0178287316221389	-0.345060274466517	-0.303525720019115	-0.161388379037751	-0.445663061000479	-1.10129061036216	-0.837940075288402	-1.36464114543591	-0.733807908930605	-0.511835076811239	-0.955780741049971
"4"	1.35678391959799	-0.550079344372578	-0.383103609177664	-0.717055079567492	-0.182027216945238	-0.0194164203639916	-0.344638013526484	-0.304108433920025	-0.163122025120975	-0.445094842719075	-1.09663590340837	-0.832679638135545	-1.36059216868119	-0.730338071028559	-0.507541030824469	-0.953135111232649
"5"	1.80904522613065	-0.550662058273488	-0.384688986441122	-0.716635130105853	-0.182609930846147	-0.0209990006818849	-0.344220861010409	-0.304691147820934	-0.164852017718111	-0.444530277923758	-1.09198119645458	-0.827399509080649	-1.35656288382851	-0.726868233126513	-0.503225258742824	-0.950511207510203
"6"	2.26130653266332	-0.551244772174397	-0.386269331335094	-0.716220213013701	-0.183192644747057	-0.0225763771730963	-0.343808912321017	-0.305273861721844	-0.166578266165109	-0.443969457278578	-1.08732648950079	-0.822099827428121	-1.35255315157345	-0.723398395224468	-0.498888006151858	-0.947908784297078
"7"	2.71356783919598	-0.551827486075307	-0.387844552012537	-0.715810420138076	-0.183775358647966	-0.0241484525597903	-0.343402264736142	-0.305856575622753	-0.168300677083935	-0.443412474161571	-1.082671782547	-0.816780735464744	-1.34856282962925	-0.719928557322422	-0.494529521045077	-0.945327593599767
"8"	3.16582914572864	-0.552410199976216	-0.389414554866881	-0.715405845085551	-0.184358072548875	-0.0257151276624486	-0.343001017435302	-0.306439289523663	-0.170019154294778	-0.442859424752547	-1.07801707559321	-0.811442378319628	-1.34459177286679	-0.716458719420376	-0.490150053543774	-0.942767385296978
"9"	3.61809045226131	-0.552992913877126	-0.390979244508016	-0.715006583246235	-0.184940786449785	-0.0272763013738688	-0.342605271525701	-0.307022003424572	-0.17173359872567	-0.442310408123475	-1.07336236863942	-0.806084903823884	-1.34063983345495	-0.712988881518331	-0.48574985562311	-0.940227907413551
"10"	4.07035175879397	-0.553575627778035	-0.392538523738813	-0.714612731817257	-0.185523500350695	-0.028831870633817	-0.342215130067572	-0.307604717325482	-0.17344390831949	-0.441765526331474	-1.06870766168563	-0.800708462370308	-1.33670686100095	-0.709519043616285	-0.481329180844862	-0.937708906387707
"11"	4.52261306532663	-0.554158341678945	-0.39409229353226	-0.714224389825629	-0.186106214251604	-0.0303817304044271	-0.341830698098781	-0.308187431226391	-0.175149977938335	-0.441224884514447	-1.06405295473184	-0.795313206773332	-1.33279270269034	-0.706049205714239	-0.476888284097261	-0.935210127331216
"12"	4.9748743718593	-0.554741055579854	-0.395640453009294	-0.713841658150415	-0.186688928152513	-0.0319257736464439	-0.341452082658583	-0.308770145127301	-0.176851699265235	-0.440688590989366	-1.05939824777805	-0.789899292129487	-1.32889720342661	-0.702579367812193	-0.472427421342226	-0.93273131428216
"13"	5.42713567839196	-0.555323769480764	-0.397182899417406	-0.713464639544121	-0.187271642053423	-0.0334638912964121	-0.341079392810434	-0.30935285902821	-0.178548960703218	-0.440156757353202	-1.05474354082426	-0.784466875678626	-1.32502020596989	-0.699109529910147	-0.467946849370323	-0.930272210449972
"14"	5.87939698492462	-0.555906483381673	-0.398719528110133	-0.713093438653213	-0.187854355954332	-0.0349959722449221	-0.340712739663743	-0.30993557292912	-0.180241647271715	-0.439629498586524	-1.05008883387047	-0.77901611666614	-1.32116155107479	-0.695639692008102	-0.463446825563697	-0.927832558452506
